id,classificationMarking,obTime,idOnOrbit,satNo,trackId,origSensorId,uct,ra,declination,senlat,senlon,senalt,expDuration,mag,source,dataMode,createdAt,createdBy,referenceFrame,senReferenceFrame,origNetwork,type,idSensor,azimuth,azimuthUnc,elevation,elevationUnc,range,raUnc,declinationUnc,magUnc,solarPhaseAngle,penumbra,efg,ds50_utc,asObId,XA_OBSRES_AZ,XA_OBSRES_EL,XA_OBSRES_RANGE,XA_OBSRES_HEIGHT,XA_OBSRES_BETA,XA_OBSRES_DELTAT,XA_OBSRES_VMAG,XA_OBSRES_AGE,XA_OBSRES_SU,XA_OBSRES_REVNUM,XA_OBSRES_RNGRATE,XA_OBSRES_ASTAT,XA_OBSRES_OBSTYPE,XA_OBSRES_SATANOM,XA_OBSRES_SATELEV,XA_OBSRES_SATCAT,XA_OBSRES_OBSTIME,XA_OBSRES_OBSAZ,XA_OBSRES_OBSEL,XA_OBSRES_VELANG,XA_OBSRES_ANGMOM,XA_OBSRES_RA,XA_OBSRES_DEC,XA_OBSRES_POSX,XA_OBSRES_POSY,XA_OBSRES_POSZ,XA_OBSRES_VELX,XA_OBSRES_VELY,XA_OBSRES_VELZ,XA_OBSRES_OBSRNG,XA_OBSRES_OBSRA,XA_OBSRES_OBSDEC,XA_OBSRES_LON,XA_OBSRES_POSU,XA_OBSRES_POSV,XA_OBSRES_POSW,XA_OBSRES_CHI,XA_OBSRES_ANGSEP,XA_OBSRES_TDOA,XA_OBSRES_FDOA
e574d007-3333-4851-8718-7b976817d71e,U//PR-PPEC-OBS,2025-04-30 04:23:02.994720+00:00,48340.0,48340.0,,,,77.828978,46.624222,38.994194,-104.6365,2.237,0.089405,10.114,PPEC,REAL,2025-04-30T04:45:15.231Z,system.pinepark,,,OPS1,OPTICAL,PPEC-0288,313.95117,0.002,20.732744,0.002,2184.2,0.002,0.002,0.233,-133.62,0.0,"[-1254.7036537738138, -4804.332474079859, 3993.2226509886527]",27514.18267355,1.0383782900483407e+18,-0.36306528291192697,-0.04192806397450721,1.951114181436805,-0.006997135679548932,3.1805546814635168e-15,0.029956296549214702,13.190743191791432,0.9778800056556065,57.25300299344512,19652.0,0.0,0.0,9.0,55.60361984165111,20.75910643163516,4.0,27514.1826636,313.78358623998224,20.717178367660654,0.0,0.0,0.16201365880654503,-0.3013248832480888,-4.10162625610883,10.749977916387024,-6.462495392510391,0.0,0.0,0.0,2186.75046207494,78.4090866350594,46.519061725055955,-0.10475449506199652,-0.08310466253706483,-13.196298854636956,-5.075939668586216e-13,0.0,0.3421205956560064,0.0,0.0
8da5d911-a7a9-4f31-a355-e0a179ceea37,U//PR-PPEC-OBS,2025-04-30 04:23:02.135040+00:00,48340.0,48340.0,,,,77.939637,46.487694,38.994194,-104.6365,2.237,0.089405,9.752,PPEC,REAL,2025-04-30T04:45:15.230Z,system.pinepark,,,OPS1,OPTICAL,PPEC-0288,313.783584,0.002,20.717202,0.002,2184.9,0.002,0.002,0.312,-133.622,0.0,"[-1254.7036537738138, -4804.332474079859, 3993.2226509886527]",27514.1826636,1.0383782100483407e+18,-0.36303245754676683,-0.04272415145879839,1.9880293720826148,-0.01026291763969592,3.1805546814635168e-15,0.029990463262748193,13.20581174035802,0.9778675756169832,57.19216743667283,19652.0,0.0,0.0,9.0,55.52861538612847,20.73939437033726,4.0,27514.18265117,313.5722350699579,20.69667021887846,0.0,0.0,0.16122541107653054,-0.3018752142941175,-4.095505993017468,10.758719476441684,-6.482807894954931,0.0,0.0,0.0,2187.6861158803185,78.54631480908236,46.34595631525383,-0.10468926845715032,-0.08636792275555116,-13.211455366325712,5.786482404346316e-13,0.0,0.3422333576432227,0.0,0.0
f0cd6d2f-97a2-42fc-bc07-7752c1ec466c,U//PR-PPEC-OBS,2025-04-30 04:23:01.061088+00:00,48340.0,48340.0,,,,78.07766,46.314919,38.994194,-104.6365,2.237,0.089405,9.909,PPEC,REAL,2025-04-30T04:45:15.228Z,system.pinepark,,,OPS1,OPTICAL,PPEC-0288,313.572233,0.002,20.696694,0.002,2185.8,0.002,0.002,0.28,-133.624,0.0,"[-1254.7036537738138, -4804.332474079859, 3993.2226509886527]",27514.18265117,1.0383781000483407e+18,-0.362606075217576,-0.04361025839785519,2.018887986278983,-0.020080191696988013,-6.3611093629270335e-15,0.029992818683587986,13.206937211879776,0.9778551455819979,57.131331010832646,19652.0,0.0,0.0,9.0,55.45361480061922,20.71929096364692,4.0,27514.18263874,313.3615045608334,20.675680705249064,0.0,0.0,0.16015770334131982,-0.3021734716952641,-4.080908077520689,10.75467814000649,-6.501159664077932,0.0,0.0,0.0,2188.6366014323994,78.6819444480565,46.17297757139013,-0.10451340776961615,-0.09611427271759787,-13.212598217486253,-9.596767824859853e-13,0.0,0.3419951548848065,0.0,0.0
a4f08528-3d0d-41ea-949a-5a0749081441,U//PR-PPEC-OBS,2025-04-30 04:22:59.987136+00:00,48340.0,48340.0,,,,78.214081,46.142267,38.994194,-104.6365,2.237,0.089405,10.136,PPEC,REAL,2025-04-30T04:45:15.226Z,system.pinepark,,,OPS1,OPTICAL,PPEC-0288,313.361502,0.002,20.675705,0.002,2186.7,0.002,0.002,0.18,-133.625,0.0,"[-1254.7036537738138, -4804.332474079859, 3993.2226509886527]",27514.18263874,1.0383779900483407e+18,-0.36306516822626494,-0.04428840773579049,2.0526112047459284,-0.021412351284138334,-3.1805546814635168e-15,0.030062004884398946,13.237403769877554,0.9778450355406676,57.0818486961035,19652.0,0.0,0.0,9.0,55.39261558436747,20.702652164136563,4.0,27514.182628629987,313.1894704331483,20.658363756400774,0.0,0.0,0.15976107351403515,-0.30300602257530146,-4.0823564446209275,10.776864951388234,-6.525673513178845,0.0,0.0,0.0,2189.4336948401083,78.79207305532171,46.031608132173886,-0.10460442787282886,-0.09753253018529673,-13.243162557620355,-7.407408020299044e-13,0.0,0.34254583390303267,0.0,0.0
5209dab2-87f3-44f3-bec3-5b12ebc68d79,U//PR-PPEC-OBS,2025-04-30 04:22:59.113631+00:00,48340.0,48340.0,,,,78.324854,46.001163,38.994194,-104.6365,2.237,0.089405,10.112,PPEC,REAL,2025-04-30T04:45:15.224Z,system.pinepark,,,OPS1,OPTICAL,PPEC-0288,313.189467,0.002,20.658389,0.002,2187.5,0.002,0.002,0.2,-133.626,0.0,"[-1254.7036537738138, -4804.332474079859, 3993.2226509886527]",27514.182628629987,1.0383779100483407e+18,-0.3616451163280941,-0.0450384306625975,2.0783459770896435,-0.030530980743098467,0.0,0.029983384949076902,13.202892124460796,0.9778325355036941,57.02066804093588,19652.0,0.0,0.0,9.0,55.317200052572886,20.681724615260695,4.0,27514.182616129987,312.9789710427508,20.636686184598098,0.0,0.0,0.1582787537686714,-0.3024606556517529,-4.057119131094623,10.74387177379731,-6.525973192532547,0.0,0.0,0.0,2190.4223188987885,78.92572963981267,45.858287825965704,-0.10414707324662231,-0.10640648240953166,-13.20863354423338,-1.7319479184152442e-14,0.0,0.3413736824529514,0.0,0.0
c94405e1-246b-4d14-87ed-a54980cac165,U//PR-PPEC-OBS,2025-04-30 04:22:58.033631+00:00,48340.0,48340.0,,,,78.459298,45.828165,38.994194,-104.6365,2.237,0.099382,9.87,PPEC,REAL,2025-04-30T04:45:15.222Z,system.pinepark,,,OPS1,OPTICAL,PPEC-0288,312.978968,0.002,20.636712,0.002,2188.4,0.002,0.002,0.28200000000000003,-133.627,0.0,"[-1254.7036537738138, -4804.332474079859, 3993.2226509886527]",27514.182616129987,1.0383778000483407e+18,-0.3611541358520867,-0.04588266535455142,2.1096036293480465,-0.039015001292752205,6.3611093629270335e-15,0.02998221442703836,13.202467851149938,0.9778201054796227,56.9598291721662,19652.0,0.0,0.0,9.0,55.242211227781404,20.660526092009253,4.0,27514.1826037,312.76897028749374,20.6146434266547,0.0,0.0,0.15722539018252954,-0.30267693638722754,-4.042853527445004,10.738769307259645,-6.5425150089213275,0.0,0.0,0.0,2191.4319447891035,79.05808473266201,45.68507349075166,-0.10396033387110037,-0.1148118089552721,-13.20822288460494,6.368239269249898e-13,0.0,0.34107847386627677,0.0,0.0
fe9804a3-f2d3-46dc-9a14-3db8528eb5f4,U//PR-PPEC-OBS,2025-04-30 04:22:56.959680+00:00,48340.0,48340.0,,,,78.592437,45.65527,38.994194,-104.6365,2.237,0.099382,9.495,PPEC,REAL,2025-04-30T04:45:15.220Z,system.pinepark,,,OPS1,OPTICAL,PPEC-0288,312.768967,0.002,20.614669,0.002,2189.4,0.002,0.002,0.38,-133.627,0.0,"[-1254.7036537738138, -4804.332474079859, 3993.2226509886527]",27514.1826037,1.0383776900483407e+18,-0.3611128913669355,-0.046355341389539596,2.1436952812340175,-0.034095399689581335,3.1805546814635168e-15,0.03001092542127205,13.215059094777622,0.977810165448318,56.91117695991791,19652.0,0.0,0.0,9.0,55.18224742047955,20.643296571339405,4.0,27514.18259376,312.60086149038386,20.596941229949863,0.0,0.0,0.1567399682563419,-0.303000752679199,-4.042814979432478,10.747740343423175,-6.553431001168974,0.0,0.0,0.0,2192.263375608659,79.16361223525482,45.54633476760014,-0.10391385324319913,-0.10989243206837784,-13.220955222223031,5.737632591262809e-13,0.0,0.34114256404223714,0.0,0.0
0edad5c7-c68b-456a-aeab-2549220b95f3,U//PR-PPEC-OBS,2025-04-30 04:22:56.100864+00:00,48340.0,48340.0,,,,78.69859,45.516786,38.994194,-104.6365,2.237,0.099382,9.975999999999999,PPEC,REAL,2025-04-30T04:45:15.218Z,system.pinepark,,,OPS1,OPTICAL,PPEC-0288,312.600857,0.002,20.596967,0.002,2190.2,0.002,0.002,0.442,-133.627,0.0,"[-1254.7036537738138, -4804.332474079859, 3993.2226509886527]",27514.18259376,1.0383776100483407e+18,-0.35981669538376676,-0.046417501461615406,2.189120542221806,-0.01045441784352047,0.0,0.02994373206091082,13.185279109224904,0.977797725408891,56.85028747844835,19652.0,0.0,0.0,9.0,55.10720630196631,20.621387550223357,4.0,27514.18258132,312.3919403241189,20.57497004876174,0.0,0.0,0.1558992241800866,-0.3021459735976985,-4.039850089208812,10.72569480634047,-6.531543535283163,0.0,0.0,0.0,2193.3253832509536,79.29431771328123,45.37387513021918,-0.10349978572108398,-0.08603183709406448,-13.191458497768354,-6.10178574333986e-13,0.0,0.33999722692366996,0.0,0.0
a1cfd71c-c4c9-43ef-ad57-ad730708735e,U//PR-PPEC-OBS,2025-04-30 04:22:55.026048+00:00,48340.0,48340.0,,,,78.83007,45.344642,38.994194,-104.6365,2.237,0.099382,10.0,PPEC,REAL,2025-04-30T04:45:15.216Z,system.pinepark,,,OPS1,OPTICAL,PPEC-0288,312.391938,0.002,20.574994,0.002,2191.2,0.002,0.002,0.273,-133.626,0.0,"[-1254.7036537738138, -4804.332474079859, 3993.2226509886527]",27514.18258132,1.0383775000483407e+18,-0.35918348251297294,-0.04696208930445796,2.2151980335499317,-0.012778316458618441,0.0,0.0299240463676007,13.176640473568252,0.9777877853775863,56.801633994396006,19652.0,0.0,0.0,9.0,55.0472491937912,20.60360590909109,4.0,27514.18257138,312.224784175183,20.556643819786633,0.0,0.0,0.15504527055962722,-0.3020536686262453,-4.02872757854675,10.715816008322918,-6.537314686808713,0.0,0.0,0.0,2194.178674120175,79.39768167182092,45.2354174016675,-0.10328704942025979,-0.088252782882142,-13.182869694685271,3.3661962106634746e-13,0.0,0.33952437905700206,0.0,0.0
6f61042b-2942-4615-83a2-f35c196d164a,U//PR-PPEC-OBS,2025-04-30 04:22:54.167232+00:00,48340.0,48340.0,,,,78.934054,45.206434,38.994194,-104.6365,2.237,0.099382,10.422,PPEC,REAL,2025-04-30T04:45:15.215Z,system.pinepark,,,OPS1,OPTICAL,PPEC-0288,312.224781,0.002,20.556668,0.002,2192.1,0.002,0.002,0.299,-133.625,0.0,"[-1254.7036537738138, -4804.332474079859, 3993.2226509886527]",27514.18257138,1.0383774100483407e+18,-0.3592941534011906,-0.04678584496959163,2.2811181200121635,0.03076392535808529,-3.1805546814635168e-15,0.029975106255690897,13.198830510590108,0.977775355335325,56.74079185652176,19652.0,0.0,0.0,9.0,54.97227700986884,20.58102683827272,4.0,27514.18255895,312.01508326027357,20.53424099330313,0.0,0.0,0.1551633409474754,-0.30213621799190304,-4.054279488227621,10.740373868125289,-6.526376896649708,0.0,0.0,0.0,2195.297662279764,79.52761958126736,45.06200434327931,-0.10328207955265611,-0.04474275062343658,-13.205468809518331,-2.544631172440859e-13,0.0,0.3396517450895948,0.0,0.0
